count	firsto	firsts	st	p	ot
1	2269	12648	postdecrement_expr	OP1	integer_cst
3	2473	14254	rshift_expr	OP1	integer_cst
1	3	12648	postdecrement_expr	type	integer_type
1	3	12809	truth_and_expr	type	integer_type
1	3	12830	switch_expr	type	integer_type
2	3	12965	gt_expr	type	integer_type
3	51	14254	rshift_expr	type	integer_type
1	12235	12648	postdecrement_expr	OP0	var_decl
2	12698	12965	gt_expr	OP0	var_decl
1	12875	12830	switch_expr	body	statement_list
9	13022	12970	string_cst	type	array_type
1	14248	14209	bit_ior_expr	OP0	bit_ior_expr
3	14249	14209	bit_ior_expr	OP1	lshift_expr
1	14281	14248	bit_ior_expr	OP0	nop_expr
4	129	1619	void_type	unql	void_type
6	16	2177	ge_expr	type	integer_type
1	31	11373	bit_not_expr	type	integer_type
1	11216	11373	bit_not_expr	OP0	var_decl
6	2203	2177	ge_expr	OP0	component_ref
6	2204	2177	ge_expr	OP1	component_ref
1	11187	11331	bit_ior_expr	OP1	var_decl
3	11192	11330	array_ref	OP1	var_decl
3	11352	11330	array_ref	OP0	component_ref
5	127	115	complex_type	size	integer_cst
2	2239	11282	compound_expr	OP1	integer_cst
2	3	11282	compound_expr	type	integer_type
4	1632	11224	trunc_div_expr	type	integer_type
3	11353	11330	array_ref	type	integer_type
2	11308	11282	compound_expr	OP0	modify_expr
1	11330	11331	bit_ior_expr	OP0	array_ref
4	116	115	complex_type	name	type_decl
1	12339	12324	vector_type	unql	vector_type
1	12	7578	boolean_type	size	integer_cst
1	22	15793	reference_type	size	integer_cst
1	2239	14863	lt_expr	OP1	integer_cst
2	3	14863	lt_expr	type	integer_type
1	139	15793	reference_type	refd	pointer_type
2	14809	14863	lt_expr	OP0	var_decl
2	14809	14885	plus_expr	OP0	var_decl
1	14823	14866	lt_expr	OP1	var_decl
1	14823	14885	plus_expr	OP1	var_decl
1	14885	14858	trunc_div_expr	OP0	plus_expr
2	4465	4418	plus_expr	OP0	nop_expr
1	7597	7578	boolean_type	name	type_decl
